name_orig,name_python,geo_id,notes
Activated_OP1L_NM_NA_Rep1,Rep3-Tgfb1,GSM8151750,
Activated_OP1L_NM_NA_Rep2,Rep4-Tgfb1,GSM8151751,
Quiescent_OP1L_NM_NA_Rep1,Rep1-Resting,GSM8151752,
Quiescent_OP1L_NM_NA_Rep2,Rep2-Resting,GSM8151753,
exVivo_OP2_IL1b_1,Rep9-Il1b,GSM8151754,
exVivo_OP2_IL1b_2,Rep10-Il1b,GSM8151755,
exVivo_OP2_TGFb_1,Rep7-Tgfb1,GSM8151758,
exVivo_OP2_TGFb_2,Rep8-Tgfb1,GSM8151759,missing in Python data
exVivo_OP2_resting_1,Rep5-Resting,GSM8151756,
exVivo_OP2_resting_2,Rep6-Resting,GSM8151757,
