Gene,CellType
Cthrc1,Myofb
Acta2,Myofb
Tagln,Myofb
Fn1,Myofb
Ptn,Myofb
Col1a1,Myofb
Postn,Myofb
Ddah1,Myofb
Csrp2,Myofb
Tpm2,Myofb
Myl9,Myofb
Lox,Myofb
Col1a2,Myofb
Timp1,Myofb
Col3a1,Myofb
Sfrp2,Myofb
Col5a2,Myofb
Tnc,Myofb
Wisp1,Myofb
Sparc,Myofb
Marcksl1,Myofb
Actb,Myofb
Actn1,Myofb
Kdelr2,Myofb
Lgals1,Myofb
Mfap4,Myofb
Crlf1,Myofb
C1qtnf6,Myofb
Ltbp2,Myofb
Loxl3,Myofb
Ppic,Myofb
Spp1,Myofb
Serpinh1,Myofb
Sfrp1,Myofb
Slc39a1,Myofb
Lbh,Myofb
Palld,Myofb
Cnn2,Myofb
Fkbp10,Myofb
Fam101b,Myofb
Vamp5,Myofb
Mdk,Myofb
Aspn,Myofb
Tspan6,Myofb
Col8a1,Myofb
Eln,Myofb
Myl6,Myofb
Ssr2,Myofb
Fkbp11,Myofb
Ctsd,Myofb
Myl12a,Myofb
Gm10076,Myofb
Fstl1,Myofb
Ccl9,Myofb
Col5a1,Myofb
Rbp1,Myofb
Plac8,Myofb
Rcn3,Myofb
Ppib,Myofb
S100a11,Myofb
Efemp2,Myofb
Wisp2,Myofb
Tmsb4x,Myofb
Id3,Myofb
Mmp14,Myofb
Srpx2,Myofb
Tgfb3,Myofb
Maged1,Myofb
Ckap4,Myofb
P4ha3,Myofb
Runx1,Myofb
Sec61b,Myofb
Mfap2,Myofb
Tpm1,Myofb
Tmem176b,Myofb
Gpx7,Myofb
Maged2,Myofb
Prdx4,Myofb
Plod2,Myofb
1500015O10Rik,Myofb
Tagln2,Myofb
Tmem176a,Myofb
Col12a1,Myofb
Mmp23,Myofb
Csrp1,Myofb
Vmp1,Myofb
Cnn3,Myofb
Rpl41,Myofb
Serf2,Myofb
Tpm4,Myofb
P4hb,Myofb
Col14a1,Myofb
Sec61g,Myofb
Fhl2,Myofb
Emilin1,Myofb
Gpx8,Myofb
Ssr4,Myofb
Bgn,Myofb
Actg1,Myofb
Rcn1,Myofb
Tnfrsf12a,Myofb
Fscn1,Myofb
Cyr61,Myofb
Pdia6,Myofb
Serf1,Myofb
Cfl1,Myofb
Ecscr,Myofb
Isg15,Myofb
Tm4sf1,Myofb
Anxa2,Myofb
Hnrnpa1,Myofb
Cxcl12,Myofb
Sh3bgrl3,Myofb
Mif,Myofb
Pdia5,Myofb
Bst2,Myofb
Eno1,Myofb
Erp29,Myofb
Surf4,Myofb
Ctgf,Myofb
Ost4,Myofb
Thbs2,Myofb
Prdx5,Myofb
Rasl11b,Myofb
Cercam,Myofb
Cdh2,Myofb
P3h1,Myofb
Tmem45a,Myofb
Col16a1,Myofb
Gadd45b,Myofb
Tmem258,Myofb
Eef1b2,Myofb
Atp5o,Myofb
Ncam1,Myofb
Prdx2,Myofb
Myh9,Myofb
Dpysl3,Myofb
Gapdh,Myofb
Rbm3,Myofb
Dad1,Myofb
Praf2,Myofb
Rpl39,Myofb
Pdgfrl,Myofb
Sdc1,Myofb
Fndc1,Myofb
Dclk1,Myofb
Pfn1,Myofb
Aebp1,Myofb
Tubb5,Myofb
Dok1,Myofb
Tmsb10,Myofb
Pls3,Myofb
Rpsa,Myofb
Ostc,Myofb
Copz2,Myofb
Ctsk,Myofb
