Tgfb condition 1,Tgfb condition 2,Tgfb condition 3,Il1b condition
Apod,Glul,Col1a1,Ccl2
Cd34,Gpx3,Col1a2,Ccl7
Cytl1,Gsn,Col3a1,Cxcl1
Dbi,Gsta3,Col4a2,Cxcl5
Dkk3,Gstm1,Col5a2,Cxcl12
Fgf7,Hsd11b1,Col6a1,Cxcl16
Igfbp5,Hspa1a,Col8a1,Ccl8
Mgp,Htra3,Lox,Il6
Pdgfra,Ier2,Loxl2,Csf1
Pi16,Igfbp4,Loxl3,Odc
Pid1,Jun,Ddah1,Sod2
Pla2g2a,Junb,Cthrc1,Mt1
Semac3,Jund,Postn,Mt2
Tcf21,Klf9,Fn1,S100a8
Wif1,Lpl,Ccn2,Areg
Ftl,Medag,Hbegf,Mmp10
Lamp1,Ms4a4d,Ltbp2,Serpinb2
Serpinb9,Nmb,Ncam1,Camp
Fth1,Penk,Hspg2,Slpi
Il11,Ppp1r14a,Mfap4,Vegfa
Oaz1,Rnase4,Acta2,Lif
Pdpn,Sept4,Myl9,Thbs1
Prl2c2,Slc43a3,Myh9,Dhrs1
Vcan,Smoc2,Tagln,Nppb
Vcn,Socs3,Palld,Tnc
Top2a,Sparcl1,Tnc,Lcn2
Ube2c,Spon1,Adam12,Ptges2
Anhak,Txnip,Adam15,Plaur
Fbln2,Zfp36,Adamts6,Cebpb
S100a10,Slc39a1,Adamts10,Tbx3
S100a6,Sparc,Adamts14,Nfkb1
Actn1,Abca8a,Prss23,Nfkbiz
Angplt4,Adamts5,Serpine1,Fosl1
C1qtnf6,Adm,Mmp3,Fosl2
Crlf1,Aldh2,Mmp8,Ptn
Csrp2,Apoe,Mmp10,Cygb
Kdelr2,Atf3,Mmp14,Prl2c2
Lbh,Atp1a2,Mmp19,Prl2c3
Lgals1,Btg2,Mmp23,Oaz1
Ltbp2,Cd55,Meox1,Cd248
Marcksl1,Clec3b,Egr1,
Ppic,Crispld2,Egr2,
Ptn,Cxcl1,Tead1,
Serpinh1,Cxcl14,Tead2,
Sfrp2,Cyp27a1,Sox9,
,Dnajb1,Runx1,
,Dpep1,Fosl1,
,Dusp1,Fosl2,
,Enpp2,Fos,
,,Fosb,
,,Cebpb,
,,Cebpd,
,,Pmepa1,
,,Srpx2,
,,Spon2,
,,Sfrp1,
,,Ctsl,
,,Clu,
,,Cd248,
,,Tgfbr3,
,,Prg4,
,,Ptn,
,,Cygb,
,,Prl2c2,
,,Prl2c3,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
